stage,dataset,evidence_level,runs_or_seeds,comparison,main_result,article_role
Stage 1-7,HAM10000,exploratory,single-seed majority,early real and synthetic variants,"Apparent gains were confounded by split reuse, border artifacts, single-encoder selection and single-seed evaluation",Motivation and protocol-repair history only
Stage 8,HAM10000,repaired screening,4 arms x 5 seeds,Synthetic+DINO versus real natural and weighted CE,"Versus weighted CE: macro F1 -0.0181 and MCC -0.0376; melanoma recall +0.0420 but precision -0.0694",Evidence that recall shift is not general utility
Stage 9,HAM10000,controlled screening,8 methods x 3 seeds,Synthetic versus source-matched replay oversampling undersampling Balanced Softmax and cRT,"Versus replay: macro F1 -0.0006 and MCC -0.0054; versus oversampling macro F1 -0.0306; undersampling substantially worse",Simple-method and source-replay controls
Stage 10,HAM10000,mechanism screening,4 strata x 2 arms x 3 seeds,Geometry-stratified synthetic versus matched replay,"strict_id MCC +0.0661 bootstrap CI +0.0047 to +0.1255; random MCC -0.0488 CI -0.0856 to -0.0131",Evidence that feature geometry moderates utility
Stage 11A,HAM10000,baseline qualification,4 architectures x 3 seeds,ConvNeXt Base Small and DINOv2 linear/full,"ConvNeXt-S selected: macro F1 0.7699 MCC 0.6610 macro AUPRC 0.8068 with 25.9 min/run",Strong downstream baseline selection
Stage 11B,HAM10000,preregistered internal confirmation,2 arms x 3 seeds,strict_id synthetic versus source-matched replay on ConvNeXt-S,"Macro F1 +0.0115 but macro AUPRC -0.0136 and melanoma AUPRC -0.0447; primary bootstrap CIs crossed zero",Core evidence that argmax gains did not transfer to ranking utility
Stage 12,HAM10000,diagnostic,4 encoders plus 5000 bootstraps,Synthetic versus replay geometry novelty frequency and ranking tails,"Synthetic precision/density/coverage lower in 11/12 cuts; frequency gap in 14/15; task-space mismatch and melanoma tail regression supported",Mechanistic explanation
Stage 13A/HAM,HAM10000,train-only gate,1440 plus 960 plus 160 candidates,Multi-encoder and facility-location selection,"Initial pools failed capacity; low-strength and expanded BKL pool produced 90 lesion-unique candidates and improved all 12 coverage cuts",Selection-method development
Stage 13B,HAM10000,internal confirmation,2 arms x 3 seeds,Coverage-targeted synthetic versus matched replay,"Macro F1 -0.0033; macro AUPRC -0.0136 on 0/3 wins; melanoma AUPRC -0.0198 on 0/3",Evidence that improved PRDC is insufficient
Stage 14P,HAM10000,paired ablation,2 arms x 3 seeds,Aspect-preserving pad versus square crop,"Macro AUPRC -0.0291 and melanoma AUPRC -0.0732; melanoma recall bootstrap CI entirely negative",Reject full-frame padding for this recipe
Stage 15 audit,HAM10000,retrospective causal audit,90 selected samples,Generator and preprocessing provenance,"87/90 selected images used strength 0.05 at 30 steps; roughly one denoising step plus offline crop and VAE confounds",Critical interpretation correction
Stage 15A,HAM10000,preregistered causal decomposition,4 arms x 3 seeds,Original replay versus offline crop versus VAE roundtrip versus one-step img2img,"D-A macro AUPRC -0.0083 on 0/3; macro F1 -0.0249; MCC -0.0288 with bootstrap CI -0.0578 to -0.0004",Strongest current causal result
Stage 16A,ISIC 2019,data qualification,25331 official rows,Connected-group deduplication and split,"25327 usable rows; 4 quarantined; train/val/locked 17729/3799/3799; locked test closed",Scale-out and leakage-safe dataset contribution
Stage 16B,ISIC 2019,baseline confirmation,2 methods x 3 seeds,Balanced Softmax versus natural CE,"Macro AUPRC +0.0011 CI crossing zero; balanced accuracy +0.0340; ECE +0.0871 worse; melanoma AUPRC -0.0119",External-scale evidence that imbalance methods shift operating point
Stage 16P,ISIC 2019,preregistered screening,3 arms seed 42,Square crop versus aspect pad and dark-FOV pad,"Both candidates failed; source interaction favored non-HAM but harmed HAM; no confirmation run",Source-dependent preprocessing hypothesis
Stage 16G-S,ISIC 2019,segmentation qualification,1822 training pairs plus 303 qualification images,DeepLabV3 mask qualification,"Dice 0.9229 and IoU 0.8636; 893 lesion-unique pseudo-masks passed generator gate",Enabling method and reproducibility result
Stage 16G-P0/P1,ISIC 2019,train-only generator qualification,4 arms and 192 candidates,Generic and domain-LoRA img2img/inpainting controls,"Best class agreement 0.625 historical near-copy; domain-LoRA inpaint agreement 0.333 and IoU 0.680; all arms failed",Independent negative generator gate; no downstream claim
